ProductName,Category,Rating,ImageLink,DiscountedPrice,ActualPrice,AboutProduct
"amazon, basics, high, speed, hdmi, cable, 6, feet, supports, ethernet, 3d, 4k, video, black","electronics, hometheater,tv, video, accessories, cables, hdmicables",4.4,https://m.media-amazon.com/images/I/41bCxnHksnL._SY300_SX300_QL70_FMwebp_.jpg,309.0,475.0,"select, appropriate, display, resolution, refresh, rate, proper, display, output, hdmi, male, male, cable, supports, ethernet, 3d, 4k, video, audio, return, channel, blu, ray, players, fire, tv, apple, tv, ps4, ps3, xbox, xbox, 360, computers, hdmi, enabled, devices, tvs, displays, v, receivers, allows, share, internet, connection, multiple, devices, need, separate, ethernet, hdmi, standards, 4k, video, 60, hz, 2160p, 48, bit, px, color, depth, supports, bandwidth, 18gbps, backwards, compatible, earlier, length, 6, feet, meters, 1, year, limited, warranty"
"amazonbasics, high, speed, braided, hdmi, cable, 3, feet, supports, ethernet, 3d, 4k, audio, return, black","electronics, hometheater,tv, video, accessories, cables, hdmicables",4.4,https://m.media-amazon.com/images/I/41SxrTzMivL._SX300_SY300_QL70_FMwebp_.jpg,269.0,650.0,"nylon, braided, hdmi, cable, male, male, supports, ethernet, 3d, 4k, video, audio, return, channel, bluray, players, fire, tv, apple, tv, ps4, ps3, xbox, xbox, 360, computers, hdmi, enabled, devices, tvs, displays, v, receivers, sharing, internet, connection, multiple, devices, need, separate, ethernet, latest, hdmi, standards, 4k, video, 60, hz, 2160p, 48, bit, px, color, depth, supports, bandwidth, 18, gbps, backwards, compatible, earlier, length, 3, feet, meters, 1, year, limited, warranty"
"tizum, high, speed, hdmi, cable, ethernet, supports, 3d, 4k, hdmi, devices, laptop, computer, gaming, console, tv, set, box, 5, feet","electronics, hometheater,tv, video, accessories, cables, hdmicables",4.2,https://m.media-amazon.com/images/I/41da4tk7N+L._SY300_SX300_.jpg,199.0,699.0,"latest, standard, hdmi, male, male, cable, supports, ethernet, 3d, 4k, video, audio, return, channel, blu, ray, players, fire, tv, apple, tv, ps4, ps3, xbox, xbox, 360, computers, dvd, players, set, box, dish, tv, box, hdmi, enabled, devices, tvs, displays, v, receivers, mp3, gaming, device, mobile, tablet, allows, share, internet, connection, multiple, devices, need, separate, ethernet, hdmi, standards, 4k, video, 24, hz, 2160p, 48, bit, px, color, depth, supports, bandwidth, backwards, compatible, earlier, gold, plate, hdmi, cable, length, 5, meters"
"tizum, high, speed, hdmi, cable, ethernet, supports, 3d, 4k, hdmi, devices, laptop, computer, gaming, console, tv, set, box, 5, feet","electronics, hometheater,tv, video, accessories, cables, hdmicables",4.2,https://m.media-amazon.com/images/I/41da4tk7N+L._SY300_SX300_.jpg,199.0,699.0,"latest, standard, hdmi, male, male, cable, supports, ethernet, 3d, 4k, video, audio, return, channel, blu, ray, players, fire, tv, apple, tv, ps4, ps3, xbox, xbox, 360, computers, dvd, players, set, box, dish, tv, box, hdmi, enabled, devices, tvs, displays, v, receivers, mp3, gaming, device, mobile, tablet, allows, share, internet, connection, multiple, devices, need, separate, ethernet, hdmi, standards, 4k, video, 24, hz, 2160p, 48, bit, px, color, depth, supports, bandwidth, backwards, compatible, earlier, gold, plate, hdmi, cable, length, 5, meters"
"amazon, basics, hdmi, coupler, black","electronics, homeaudio, accessories, adapters",4.4,https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/417qayz2nNL._SX300_SY300_QL70_FMwebp_.jpg,209.0,600.0,"note, product, works, extender, adapter, hdmi, compatible, devices, works, support, extension, function, long, distance, transmission, hassle, single, length, long, cable, input, output, devices, need, support, arc, extended, reach, connecting, blu, ray, players, fire, tv, apple, tv, ps4, ps3, xbox, xbox, 360, computers, hdmi, enabled, devices, tvs, displays, v, receivers, female, female, coupler, easily, connects, hdmi, male, male, cables, supports, ethernet, 3d, 4k, video, audio, return, channel, latest, hdmi, standard, 4k, video, 60, hz, 2160p, 48, bit, px, color, depth, supports, bandwidth, 18gbps, backwards, compatible, earlier, x, feet, year, limited, warranty"
"tizum, high, speed, hdmi, cable, aura, plated, high, speed, data, 3d, 4k, hd, 1080p, 10, 3, m","electronics, hometheater,tv, video, accessories, cables, hdmicables",4.2,https://m.media-amazon.com/images/I/51aZN040THL._SX300_SY300_QL70_FMwebp_.jpg,379.0,999.0,"latest, standard, hdmi, male, male, cable, supports, ethernet, 3d, 4k, blu, ray, players, gaming, computers, dvd, players, set, box, dish, tv, box, hdmi, enabled, devices, tvs, displays, v, receivers, allows, share, internet, connection, multiple, devices, need, separate, ethernet, hdmi, standards, 4k, video, 24, hz, 2160p, 48, bit, px, color, depth, supports, bandwidth, backwards, compatible, earlier, plate, hdmi, cable, length, 5, origin, hong, kong"
"amazonbasics, flexible, premium, hdmi, cable, black, 18gbps, 3, foot","electronics, hometheater,tv, video, accessories, cables, hdmicables",4.4,https://m.media-amazon.com/images/I/41nPYaWA+ML._SY300_SX300_.jpg,219.0,700.0,"flexible, lightweight, hdmi, cable, connecting, media, devices, playback, display, hdtvs, projectors, blu, ray, players, computers, apple, tv, roku, cable, ps4, xbox, hdmi, compatible, copper, conductors, metal, jacket, shielding, durability, high, performance, ethernet, 3d, 4k, video, audio, return, channel, arc, meets, latest, hdmi, bandwidth, 18gbps, backwards, compatible, earlier, 3, foot, cable"
"amazonbasics, flexible, premium, hdmi, cable, black, 18gbps, 3, foot","electronics, hometheater,tv, video, accessories, cables, hdmicables",4.4,https://m.media-amazon.com/images/I/41nPYaWA+ML._SY300_SX300_.jpg,219.0,700.0,"flexible, lightweight, hdmi, cable, connecting, media, devices, playback, display, hdtvs, projectors, blu, ray, players, computers, apple, tv, roku, cable, ps4, xbox, hdmi, compatible, copper, conductors, metal, jacket, shielding, durability, high, performance, ethernet, 3d, 4k, video, audio, return, channel, arc, meets, latest, hdmi, bandwidth, 18gbps, backwards, compatible, earlier, 3, foot, cable"
"rts, high, speed, 3d, hd, 1080p, support, 10, meters, hdmi, male, hdmi, male, cable, tv, lead, hdmi, black, 10, m, 30, feet","electronics, hometheater,tv, video, accessories, cables, hdmicables",4.2,https://m.media-amazon.com/images/I/41+H-BiHBlS._SX300_SY300_.jpg,598.0,4999.0,"rts, radhey, techno, servies, high, speed, hdmi, cable, ethernet, supports, 3d, 4k, audio, return, compatible, blu, ray, players, fire, tv, apple, tv, ps4, ps3, xbox, xbox, 360, cable, box, roku, computers, hdmi, enabled, devices, tvs, displays, v, receivers, rts, radhey, techno, servies, supports, new, hdmi, advanced, features, 3d, audio, return, channel, ethernet, dolby, truehd, dts, hd, master, audio, supports, resolution, 720p, 1080i, 1080p, shielded, heavy, duty, premium, grade, cable, soft, pvc, jacket, metal, jacket, connector, provides, strength, durability, prevents, 3d, 4k, audio, return, premium, construction, 28awg, pure, copper, conductors, triple, shielding, gold, plated, metal, jacket, compatibility, year, warranty, rts, radhey, techno, servies"
"bluerigger, high, speed, hdmi, cable, ethernet, supports, 3d, 4k, 60hz, audio, return, latest, version, 3, feet, meter","electronics, hometheater,tv, video, accessories, cables, hdmicables",4.4,https://m.media-amazon.com/images/W/WEBP_402378-T2/images/I/41k0WxE3sKS._SY445_SX342_QL70_FMwebp_.jpg,467.0,599.0,"premium, cable, high, speed, hdmi, cables, pvc, jacket, cable, protects, fraying, damage, making, perfect, everyday, supports, latest, hdmi, standard, 4k, uhd, 3d, audio, return, channel, arc, category, 2, gbps, 600, mhz, refresh, rate, 2160p, 1080p, 48, bit, deep, color, ethernet, backwards, compatible, earlier, wall, series, fire, resistant, pvc, jacket, availablility, lengths, 15, ft, 20, ft, 25, ft, 35, ft, 50, ft, bluerigger, cl3, rated, cable, ideal, wall, reliable, construction, durable, high, quality, build, protects, corrosion, maximizing, signal, strength, 100, pure, copper, conductors, triple, cable, shielding, 24k, gold, plated, metal, jacket, compatible, hdmi, components, connect, blu, ray, player, apple, tv, xbox, ps4, roku, laptops, hdmi, output, 4k, uhd, tv, projectors, v, receiver, etc"
"amazonbasics, gbps, high, speed, 4k, hdmi, cable, braided, cord, 10, foot, dark, grey","electronics, hometheater,tv, video, accessories, cables, hdmicables",4.5,https://m.media-amazon.com/images/W/WEBP_402378-T2/images/I/41m1oMmTMCL._SX300_SY300_QL70_FMwebp_.jpg,609.0,1500.0,"10, foot, high, speed, premium, hdmi, cable, male, male, transmitting, video, audio, signals, source, tablets, laptops, hdmi, enabled, devices, projectors, video, conference, systems, hdtv, monitors, double, shielded, 30awg, cable, nylon, braided, jacket, aluminum, ethernet, 3d, 4k, video, audio, return, channel, arc, 30hz, play, design, removes, need, complicated, drivers, setup, time, backed, amazon, basics, 1, year, limited, warranty"
