ProductName,Category,Rating,ImageLink,DiscountedPrice,ActualPrice,AboutProduct
"acer, 127, cm, 50, inches, series, 4k, ultra, hd, android, smart, led, tv, ar50ar2851udfl, black","electronics, hometheater,tv, video, televisions, smarttelevisions",4.3,https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/41imW51RweL._SY300_SX300_QL70_FMwebp_.jpg,27999.0,40990.0,"resolution, 4k, ultra, hd, 3840x2160, refresh, rate, 60, hertz, 178, degree, wide, viewing, dual, band, wifi, 2, way, bluetooth, hdmi, ports, x, 3, hdmi, 1, supports, earc, connect, personal, computer, laptop, set, box, blu, ray, speakers, gaming, console, usb, ports, x, 1, x, 1, connect, hard, drives, usb, 30, watts, output, high, fidelity, speakers, dolby, audio, 5, sound, modes, movie, music, standard, news, tv, features, google, certified, android, tv, 11, google, assistant, chromecast, built, voice, controlled, smart, remote, hotkeys, quick, access, netflix, prime, video, youtube, 5, picture, mode, 2, gb, ram, 16, gb, storage, 64bit, quad, core, billion, colours, memc, wide, colour, intelligent, frame, stabilization, engine, dynamic, signal, calibration, hdr10, hlg, uhd, upscaling, super, brightness, micro, dimming, blue, light, reduction, 178, degree, wide, viewing, information, 2, years, comprehensive, warranty, provided, manufacturer, date, installation, wall, mounting, demo, arranged, ahs, team, information, contact, amazon, customer, support, wall, mount, included, box, charged, time, returns, product, eligible, replacement, 10, days, delivery, case, product, defects, damage, features, matching, description"
"acer, 109, cm, 43, inches, series, 4k, ultra, hd, android, smart, led, tv, ar43ar2851udfl, black","electronics, hometheater,tv, video, televisions, smarttelevisions",4.3,https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/417QOjrqyBL._SY300_SX300_QL70_FMwebp_.jpg,23999.0,34990.0,"resolution, 4k, ultra, hd, 3840x2160, refresh, rate, 60, hertz, 178, degree, wide, viewing, dual, band, wifi, 2, way, bluetooth, hdmi, ports, x, 3, hdmi, 1, supports, earc, connect, personal, computer, laptop, set, box, blu, ray, speakers, gaming, console, usb, ports, x, 1, x, 1, connect, hard, drives, usb, 30, watts, output, high, fidelity, speakers, dolby, audio, 5, sound, modes, movie, music, standard, news, tv, features, google, certified, android, tv, 11, google, assistant, chromecast, built, voice, controlled, smart, remote, hotkeys, quick, access, netflix, prime, video, youtube, 5, picture, mode, 2, gb, ram, 16, gb, storage, 64bit, quad, core, billion, colours, memc, wide, colour, intelligent, frame, stabilization, engine, dynamic, signal, calibration, hdr10, hlg, uhd, upscaling, super, brightness, micro, dimming, blue, light, reduction, 178, degree, wide, viewing, information, 2, years, comprehensive, warranty, provided, manufacturer, date, installation, wall, mounting, demo, arranged, ahs, team, information, contact, amazon, customer, support, wall, mount, included, box, charged, time, returns, product, eligible, replacement, 10, days, delivery, case, product, defects, damage, features, matching, description"
"acer, 80, cm, 32, inches, series, hd, ready, android, smart, led, tv, ar32ar2841hdfl, black","electronics, hometheater,tv, video, televisions, smarttelevisions",4.3,https://m.media-amazon.com/images/I/41gikeSuhAL._SY300_SX300_QL70_FMwebp_.jpg,11499.0,19990.0,"resolution, hd, ready, 1366x768, refresh, rate, 60, hertz, 178, degree, wide, viewing, dual, band, wifi, 2, way, bluetooth, hdmi, ports, x, 2, hdmi, 1, supports, arc, connect, personal, computer, laptop, set, box, blu, ray, speakers, gaming, console, usb, ports, x, 2, connect, hard, drives, usb, 24, watts, output, high, fidelity, speakers, dolby, audio, 5, sound, modes, movie, music, standard, news, tv, features, google, certified, android, tv, 11, google, assistant, chromecast, built, voice, controlled, smart, remote, hotkeys, quick, access, netflix, prime, video, youtube, 5, picture, mode, gb, ram, 8, gb, storage, 64bit, quad, core, million, colours, wide, colour, gamut, intelligent, frame, stabilization, engine, hdr10, super, brightness, micro, dimming, blue, light, information, 1, year, comprehensive, warranty, provided, manufacturer, date, installation, wall, mounting, demo, arranged, ahs, team, information, contact, amazon, customer, support, wall, mount, included, box, charged, time, returns, product, eligible, replacement, 10, days, delivery, case, product, defects, damage, features, matching, description"
"acer, 139, cm, 55, inches, h, series, 4k, ultra, hd, android, smart, led, tv, ar55ar2851udpro, black","electronics, hometheater,tv, video, televisions, smarttelevisions",4.3,https://m.media-amazon.com/images/I/51aFoI9nNZL._SY300_SX300_QL70_FMwebp_.jpg,35999.0,49990.0,"resolution, 4k, ultra, hd, 3840, x, 2160, refresh, rate, 60, hertz, 178, degree, wide, viewing, 3, hdmi, ports, connect, latest, gaming, consoles, set, box, blu, ray, players, 2, usb, ports, connect, hard, drives, usb, devices, earc, dolby, atmos, passthrough, earc, hdmi, 1, port, bluetooth, spdif, ethernet, headphone, 60, watts, hifi, speakers, dolby, tv, features, certified, android, tv, 11, google, assistant, chromecast, built, voice, controlled, smart, remote, hotkeys, quick, access, netflix, prime, video, youtube, 5, picture, mode, 2, gb, ram, 16, gb, storage, 64bit, quad, core, 4k, hdr, hdr10, hlg, dolby, vision, 4k, upscaling, memc, dynamic, signal, calibration, billion, colours, super, brightness, micro, dimming, blue, light, reduction, 178, degree, wide, viewing, information, 3, years, comprehensive, warranty, provided, manufacturer, date, installation, wall, mounting, demo, arranged, ahs, team, information, contact, amazon, customer, returns, product, eligible, replacement, 10, days, delivery, case, product, defects, damage, features, matching, description"
"acer, 100, cm, 40, inches, p, series, hd, android, smart, led, tv, ar40ar2841fdfl, black","electronics, hometheater,tv, video, televisions, smarttelevisions",4.3,https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/515t5K7hdqL._SY300_SX300_QL70_FMwebp_.jpg,18999.0,24990.0,"resolution, hd, 1920x1080, refresh, rate, 60, hertz, 178, degree, wide, viewing, 2, hdmi, ports, connect, latest, gaming, consoles, set, box, blu, ray, players, 2, usb, ports, connect, hard, drives, usb, devices, bluetooth, spdif, ethernet, headphone, 24, watts, high, fidelity, speakers, dolby, tv, features, certified, android, tv, 11, google, assistant, chromecast, built, voice, controlled, smart, remote, hotkeys, quick, access, netflix, prime, video, youtube, 5, picture, mode, gb, ram, 8, gb, storage, 64bit, quad, core, high, definition, hdr10, hlg, intelligent, frame, stabilization, engine, dynamic, signal, calibration, million, colours, wcg, super, brightness, micro, dimming, blue, light, reduction, 178, degree, wide, viewing, information, 1, year, comprehensive, warranty, provided, manufacturer, date, installation, wall, mounting, demo, arranged, ahs, team, information, contact, amazon, customer, returns, product, eligible, replacement, 10, days, delivery, case, product, defects, damage, features, matching, description"
"acer, 80, cm, 32, inches, s, series, hd, ready, android, smart, led, tv, ar32ar2841hdsb, black","electronics, hometheater,tv, video, televisions, smarttelevisions",4.3,https://m.media-amazon.com/images/I/51sUInS8MiL._SY300_SX300_QL70_FMwebp_.jpg,12499.0,22990.0,"resolution, hd, ready, 1366, x, 768, refresh, rate, 60, hertz, 178, degree, wide, viewing, 2, hdmi, ports, connect, latest, gaming, consoles, set, box, blu, ray, players, 2, usb, ports, connect, hard, drives, usb, devices, bluetooth, spdif, ethernet, headphone, 40watts, soundbar, dolby, tv, features, certified, android, tv, 11, google, assistant, chromecast, built, voice, controlled, smart, remote, hotkeys, quick, access, netflix, prime, video, youtube, 5, picture, mode, gb, ram, 8, gb, storage, 64bit, quad, core, high, definition, hdr10, hlg, intelligent, frame, stabilization, engine, dynamic, signal, calibration, million, colours, wcg, super, brightness, micro, dimming, blue, light, reduction, 178, degree, wide, viewing, information, 1, years, comprehensive, warranty, provided, manufacturer, date, installation, wall, mounting, demo, arranged, ahs, team, information, contact, amazon, customer, returns, product, eligible, replacement, 10, days, delivery, case, product, defects, damage, features, matching, description"
"oneplus, cm, 55, inches, u, series, 4k, led, smart, android, tv, 55u1s, black","electronics, hometheater,tv, video, televisions, smarttelevisions",4.1,https://m.media-amazon.com/images/I/41BaZZ48wjS._SX300_SY300_QL70_FMwebp_.jpg,42999.0,59999.0,"resolution, 4k, ultra, hd, 3840x2160, refresh, rate, 60, hertz, 178, degree, wide, viewing, 3, hdmi, ports, hdmi, compatible, hdmi, 1, supports, earc, connect, set, box, blu, ray, players, gaming, console, 2, usb, ports, connect, hard, drives, usb, 30, watts, output, co, tuned, dynaudio, dolby, tv, features, android, tv, 10, free, voice, control, speak, google, assistant, oneplus, connect, oxygenplay, data, saver, plus, kids, mode, game, 1, billion, colors, gamma, engine, hdr10, certified, hdr10, hlg, memc, bezel, design, screen, body, information, 1, year, comprehensive, warranty, additional, 1, year, panel, provided, manufacturer, date, tv, comes, wall, mount, inside, box, installation, wall, mounting, demo, arranged, amazon, home, services, information, contact, amazon, customer, support"
"oneplus, cm, 65, inches, u, series, 4k, led, smart, android, tv, 65u1s, black","electronics, hometheater,tv, video, televisions, smarttelevisions",4.1,https://m.media-amazon.com/images/I/41sSPp4pkYL._SY300_SX300_QL70_FMwebp_.jpg,61999.0,69999.0,"resolution, 4k, ultra, hd, 3840x2160, refresh, rate, 60, hertz, 178, degree, wide, viewing, 3, hdmi, ports, hdmi, compatible, hdmi, 1, supports, earc, connect, set, box, blu, ray, players, gaming, console, 2, usb, ports, connect, hard, drives, usb, 30, watts, output, co, tuned, dynaudio, dolby, tv, features, android, tv, 10, free, voice, control, speak, google, assistant, oneplus, connect, oxygenplay, data, saver, plus, kids, mode, game, mode, dimension, stand, 1, billion, colors, gamma, engine, hdr10, certified, hdr10, hlg, memc, bezel, design, screen, body, information, 1, year, comprehensive, warranty, additional, 1, year, panel, provided, manufacturer, date, tv, comes, wall, mount, inside, box, installation, wall, mounting, demo, arranged, amazon, home, services, information, contact, amazon, customer, support"
"oneplus, 108, cm, 43, inches, y, series, 4k, ultra, hd, smart, android, led, tv, 43y1s, pro, black","electronics, hometheater,tv, video, televisions, smarttelevisions",4.2,https://m.media-amazon.com/images/W/WEBP_402378-T2/images/I/51ovMTXv9RL._SX300_SY300_QL70_FMwebp_.jpg,29999.0,39999.0,"resolution, 4k, ultra, hd, 3840x2160, refresh, rate, 60, 3, hdmi, ports, connect, set, box, blu, ray, players, gaming, console, 2, usb, ports, connect, hard, drives, usb, devices, dual, band, wi, 24, watts, output, dolby, audio, dolby, atmos, tv, features, android, tv, oneplus, connect, google, assistant, chromecast, miracast, dlna, auto, low, latency, mode, supported, apps, netflix, youtube, prime, video, hotstar, sonyliv, hungama, jiocinema, zee5, eros, oxygen, bezel, design, decoding, hdr10, hdr10, hlg, 1, billion, colors, gamma, engine, information, 1, year, comprehensive, warranty, additional, 1, year, panel, provided, manufacturer, date, wall, mounting, demo, arranged, amazon, home, services, information, contact, amazon, customer, support, wall, mount, included, box, charged, extra, time, returns, product, eligible, replacement, 10, days, delivery, case, product, defects, damage, features, matching, description, provided"
"vu, 138, cm, 55, inches, premium, series, 4k, ultra, hd, smart, ips, led, tv, 55ut, black","electronics, hometheater,tv, video, televisions, smarttelevisions",4.1,https://m.media-amazon.com/images/I/41HhmJpfjNL._SX300_SY300_QL70_FMwebp_.jpg,29990.0,65000.0,"resolution, 4k, 3840x2160, refresh, rate, 60, hertz, 178, degree, wide, viewing, 3, hdmi, ports, connect, set, box, blue, ray, players, 2, usb, ports, connect, hard, drives, usb, devices, wifi, hdmi, cec, arc, 2, way, bluetooth, 40, watt, speakers, 2, master, 2, tweeter, speakers, dolby, audio, sound, enhancement, ultra, surround, clear, voice, tv, features, webos, content, store, magic, remote, control, thinq, ai, voice, assistant, alexa, built, wireless, casting, licensed, apps, netflix, prime, video, hotkeys, ips, panel, 4k, hdr, 400nits, brightness, hdr10, hlg, auto, low, latency, mode, allm, game, mode, trumotion, memc, cricket, mode, panoramic, information, 1, year, warranty, provided, manufacturer, date, wall, mounting, demo, arranged, ahs, team, information, contact, vu, support, visit, brand, website, tollfree, numbers, provide, product, model, seller, details, mentioned, returns, product, eligible, replacement, 10, days, delivery, case, product, defects, damage, features, matching, description"
"acer, 80, cm, 32, inches, n, series, hd, ready, tv, ar32nsv53hd, black","electronics, hometheater,tv, video, televisions, standardtelevisions",4.3,https://m.media-amazon.com/images/I/51FicDnawaL._SY300_SX300_QL70_FMwebp_.jpg,7999.0,14990.0,"resolution, hd, ready, 1366, x, 768, refresh, rate, 60hz, 178, degree, wide, viewing, 2, hdmi, ports, connect, set, box, blu, ray, players, gaming, console, 2, usb, ports, connect, hard, drives, usb, devices, 1, vga, slot, connect, laptop, pc, 1, headphone, jack, 2, av, input, slot, 1, rf, 20, watts, high, definition, dynamic, contast, intelligent, signal, calibration, million, colours, digital, noise, information, 1, year, comprehensive, warranty, provided, manufacturer, date, installation, wall, mounting, demo, arranged, ahs, team, information, contact, amazon, customer, returns, product, eligible, replacement, 10, days, delivery, case, product, defects, damage, features, matching, description"
